key	value
user_profile_are_you_sure_you_want_to_exit	您确定要退出吗
api_account_repeat	钱包地址已存在
web_services_set_description_19	设置服务能力后请确保已设置服务价格并上架！否则系统将无法进行派单
web_services_business_add	新增
web_services_business_import	批量导入
web_services_business_unbound	未绑定
web_services_business_bound	已绑定
web_services_business_normal	正常
web_services_business_sealed_off	已封禁
web_services_business_view_details	查看详情
web_services_business_delete	删除
web_services_business_account_name	账号名称
web_services_business_account_id	账号ID
web_services_business_data_type	账号类型
web_services_business_bmi	商业号
web_services_business_account_balance	账号余额
web_services_business_description_1	上下架状态
web_services_business_description_2	绑定状态
web_services_business_description_3	存活状态
web_services_business_description_4	存活时间
web_services_business_description_5	创建时间
web_services_business_description_6	正常
web_services_business_description_7	封禁
web_services_business_description_8	确认删除对应账号吗?
web_services_business_description_9	删除成功！
web_services_business_description_10	下架成功
web_services_business_description_11	上架成功
web_services_business_description_12	新增账号
web_services_business_description_13	账号密码
web_services_business_description_14	所属平台
web_services_business_description_15	所属时区
web_services_business_description_16	请输入账号名称
web_services_business_description_17	请输入账号ID
web_services_business_description_18	请输入账号密码
web_services_business_description_19	请选择所属平台
web_services_business_description_20	请选择账号类型
web_services_business_description_21	请选择账户属性
web_services_business_description_22	请选择所属时区
web_services_business_description_23	新增成功
web_services_business_description_24	请输入内容
user_profile_change_of_name	更改姓名
user_profile_the_name_will_be_automatically_updated_when_the_name_is_clicked_to_confirm	输入姓名点击确认后，姓名将自动更新
user_profile_name	名
user_profile_please_enter	请输入
user_profile_surname	姓
user_profile_cancel	取消
user_profile_sure	确定
user_profile_please_fill_out_your_last_name	请填写您的姓
user_profile_please_fill_out_your_name	请填写您的名
user_profile_change_successfully	修改成功
user_profile_change_the_mailbox	更换邮箱
user_profile_verify	验证
user_profile_for_security_reasons_please_verify_your_identity	出于安全原因，请验证您的身份
user_profile_email_address	电子邮箱地址
user_profile_the_email_you_bound	您绑定的电子邮箱
user_profile_authentication_code	验证码
user_profile_please_enter_the_authentication_code	请输入验证码
user_profile_retake	重新获取
user_profile_get_the_authentication_code	获取验证码
user_profile_next	下一步
user_profile_confirm	确认
user_profile_sent_successful	发送成功
user_profile_change_access_password	更改登录密码
user_profile_change_password	更改密码
user_profile_original_password	原密码
user_profile_please_enter_your_original_password	请输入您的原密码
user_profile_new_password	新密码
user_profile_please_enter_your_new_password	请输入您的新密码
user_profile_confirm_the_password	确认密码
user_profile_please_enter_your_new_password_again	请再次输入您的新密码
user_profile_consistent_with_the_original_password_please_reenter	与原密码一致，请重新输入
user_profile_password_format_error_enter_a_password_of_6_to_20_bits	密码格式错误,请输入6至20位的密码
user_profile_theres_no_consistency_between_entries	两次输入密码不一致
user_messagethe_news_center	消息中心
user_messagemessages_are_archived_for_only_one_year_im_sorry	消息仅存档一年。
user_messagemark_the_current_page_as_read	标记当前页为已读
user_messagemark_all_as_read	标记全部为已读
user_messageall_of_it	全部
user_messageread	已读
user_messageunread	未读
user_messagemessage_title	消息标题
user_messagetime	时间
user_messagesuccessful_submission	提交成功
user_messageits_a_spotcheck_call	账号清零工单通知
user_messagebusiness_number_adjustment_notice	商业号调整通知
user_messageafter_fullvalue_work_orders	充值售后工单通知
user_messagefilling_order	充值工单通知
user_messagetenancy_order_notice	租赁订单通知
user_messagenotice_of_receipt	预收通知
user_messagemessage_details	消息详情
user_indexyou_have	您有
user_indexa_new_message	条新消息
user_indexview_all	查看全部
user_indexexit_login	退出登录
user_indexyou_have_not_completed_your_qualification_please_go_to_the_accreditation	您还没有完成资质认证，请前往进行认证
user_indexhint	提示
user_indexto_authenticate	去认证
user_indexare_you_sure_you_want_to_quit_the_system_im_sorry	您确定要退出系统吗？
user_indexsure	确定
user_indexcancel	取消
user_indexillegally_operating_im_sorry	非法操作！
api_model_no_results	数据没有找到
